TRANSACTION_DATE,QUANTITY,STORE_ID,DISCOUNT_PERCENT,PRODUCT_ID,TRANSACTION_ID,CLEAN_QUANTITY,CLEAN_DISCOUNT,STD_DATE,LKP_PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND,COST_PRICE,UNIT_PRICE,O_STORE_ID_STR,LKP_STORE_ID,STORE_NAME,CITY,STATE,NET_REVENUE
22-08-2024,1,,10,P_004,105762,1,10,04-03-2025,P_004,Product 004,Sports,BrandC,89.45,155.17,,,,,,139.65
23-08-2024,5,104,10,,105873,5,10,04-09-2025,,,,,,,104,104,Store 104,Bengaluru,KA,
24-08-2024,5,,10,P_042,106107,5,10,05-05-2025,P_042,Product 042,Electronics,BrandD,54.28,78.27,,,,,,352.21
25-08-2024,2,,10,P_047,106138,2,10,05-08-2025,P_047,Product 047,Grocery,BrandC,237.02,303.44,,,,,,546.19
26-08-2024,4,101,0,,106290,4,0,05-04-2025,,,,,,,101,101,Store 101,Noida,UP,
27-08-2024,4,107,10,,106357,4,10,05-01-2025,,,,,,,107,107,Store 107,Mumbai,MH,
28-08-2024,4,103,0,P_012,106366,4,0,05-03-2025,P_012,Product 012,Clothing,BrandD,260.56,358.56,103,103,Store 103,Delhi,DL,1434.24
29-08-2024,4,103,0,P_012,106366,4,0,05-03-2025,P_012,Product 012,Clothing,BrandD,260.56,358.56,103,103,Store 103,Delhi,DL,1434.24
30-08-2024,-1,106,10,P_005,106518,1,10,06-04-2025,P_005,Product 005,Sports,BrandD,58.75,90.98,106,106,Store 106,Pune,MH,81.88
31-08-2024,1,,10,P_042,106582,1,10,06-01-2025,P_042,Product 042,Electronics,BrandD,54.28,78.27,,,,,,70.44
01-09-2024,-4,103,0,P_005,106770,4,0,07-03-2025,P_005,Product 005,Sports,BrandD,58.75,90.98,103,103,Store 103,Delhi,DL,363.92
02-09-2024,2,101,10,,106829,2,10,07-09-2025,,,,,,,101,101,Store 101,Noida,UP,
03-09-2024,2,101,10,,106829,2,10,07-09-2025,,,,,,,101,101,Store 101,Noida,UP,
04-09-2024,5,107,0,P_003,107397,5,0,08-01-2025,P_003,Product 003,Clothing,BrandD,95.83,145.24,107,107,Store 107,Mumbai,MH,726.2
05-09-2024,3,105,10,,107432,3,10,08-05-2025,,,,,,,105,105,Store 105,Hyderabad,TS,
06-09-2024,4,,0,P_030,107472,4,0,08-04-2025,P_030,Product 030,Home,BrandB,272.48,363.65,,,,,,1454.6
07-09-2024,-2,101,10,P_040,107516,2,10,08-07-2025,P_040,Product 040,Grocery,BrandA,196.15,286.01,101,101,Store 101,Noida,UP,514.82
08-09-2024,5,,0,P_037,107518,5,0,08-09-2025,P_037,Product 037,Clothing,BrandB,67.57,108.84,,,,,,544.2
09-09-2024,2,,10,P_031,107676,2,10,09-11-2025,P_031,Product 031,Clothing,BrandD,69.33,125.63,,,,,,226.13
10-09-2024,2,103,0,P_006,107687,2,0,09-02-2025,P_006,Product 006,Grocery,BrandA,14.29,17.66,103,103,Store 103,Delhi,DL,35.32
11-09-2024,3,,0,P_001,107715,3,0,09-11-2025,P_001,Product 001,Home,BrandD,291.46,482.98,,,,,,1448.94
12-09-2024,1,,0,P_047,107716,1,0,09-05-2025,P_047,Product 047,Grocery,BrandC,237.02,303.44,,,,,,303.44
13-09-2024,4,103,10,,107766,4,10,09-12-2025,,,,,,,103,103,Store 103,Delhi,DL,
14-09-2024,4,103,10,,107842,4,10,09-03-2025,,,,,,,103,103,Store 103,Delhi,DL,
15-09-2024,2,,0,P_021,107868,2,0,09-12-2025,P_021,Product 021,Grocery,BrandD,112.23,191.7,,,,,,383.4
16-09-2024,1,,10,P_003,108091,1,10,09-05-2025,P_003,Product 003,Clothing,BrandD,95.83,145.24,,,,,,130.72
17-09-2024,3,106,0,P_003,108213,3,0,10-01-2025,P_003,Product 003,Clothing,BrandD,95.83,145.24,106,106,Store 106,Pune,MH,435.72
18-09-2024,3,107,0,,108214,3,0,10-03-2025,,,,,,,107,107,Store 107,Mumbai,MH,
19-09-2024,-1,108,0,P_044,108357,1,0,10-01-2025,P_044,Product 044,Grocery,BrandD,145.03,274.52,108,108,Store 108,Chennai,TN,274.52
20-09-2024,-5,106,10,P_024,108361,5,10,10-11-2025,P_024,Product 024,Electronics,BrandC,208.42,299.74,106,106,Store 106,Pune,MH,1348.83
21-09-2024,2,101,0,,108993,2,0,12-07-2025,,,,,,,101,101,Store 101,Noida,UP,
22-09-2024,4,107,10,,109074,4,10,12-10-2025,,,,,,,107,107,Store 107,Mumbai,MH,
23-09-2024,4,108,10,,109934,4,10,02-05-2026,,,,,,,108,108,Store 108,Chennai,TN,
24-09-2024,2,107,10,,110125,2,10,02-06-2026,,,,,,,107,107,Store 107,Mumbai,MH,
25-09-2024,3,,10,P_040,110166,3,10,02-07-2026,P_040,Product 040,Grocery,BrandA,196.15,286.01,,,,,,772.23
26-09-2024,3,108,0,,110338,3,0,03-09-2026,,,,,,,108,108,Store 108,Chennai,TN,
27-09-2024,1,107,0,,110345,1,0,03-09-2026,,,,,,,107,107,Store 107,Mumbai,MH,
28-09-2024,2,108,10,,110436,2,10,03-04-2026,,,,,,,108,108,Store 108,Chennai,TN,
29-09-2024,1,107,-10,P_040,110539,1,10,03-03-2026,P_040,Product 040,Grocery,BrandA,196.15,286.01,107,107,Store 107,Mumbai,MH,257.41
30-09-2024,1,102,0,,110603,1,0,03-10-2026,,,,,,,102,102,Store 102,Gurugram,HR,
01-10-2024,1,107,0,P_003,110611,1,0,04-08-2024,P_003,Product 003,Clothing,BrandD,95.83,145.24,107,107,Store 107,Mumbai,MH,145.24
02-10-2024,4,105,10,P_032,110626,4,10,04-06-2024,P_032,Product 032,Home,BrandB,115.04,135.47,105,105,Store 105,Hyderabad,TS,487.69
03-10-2024,5,108,10,P_005,110630,5,10,04-07-2024,P_005,Product 005,Sports,BrandD,58.75,90.98,108,108,Store 108,Chennai,TN,409.41
04-10-2024,2,102,0,P_019,110633,2,0,04-10-2024,P_019,Product 019,Electronics,BrandB,170.91,230.23,102,102,Store 102,Gurugram,HR,460.46
05-10-2024,1,104,0,P_003,110636,1,0,04-05-2024,P_003,Product 003,Clothing,BrandD,95.83,145.24,104,104,Store 104,Bengaluru,KA,145.24
06-10-2024,1,102,10,P_037,110641,1,10,04-04-2024,P_037,Product 037,Clothing,BrandB,67.57,108.84,102,102,Store 102,Gurugram,HR,97.96
07-10-2024,5,104,0,P_008,110652,5,0,04-07-2024,P_008,Product 008,Clothing,BrandC,110.44,203.49,104,104,Store 104,Bengaluru,KA,1017.45
08-10-2024,4,104,10,P_037,110654,4,10,04-12-2024,P_037,Product 037,Clothing,BrandB,67.57,108.84,104,104,Store 104,Bengaluru,KA,391.82
09-10-2024,5,107,10,P_021,110654,5,10,04-12-2024,P_021,Product 021,Grocery,BrandD,112.23,191.7,107,107,Store 107,Mumbai,MH,862.65
10-10-2024,1,108,10,P_023,110656,1,10,04-03-2024,P_023,Product 023,Home,BrandA,193.9,336.3,108,108,Store 108,Chennai,TN,302.67
11-10-2024,1,106,10,P_009,110665,1,10,04-10-2024,P_009,Product 009,Clothing,BrandC,96.09,153.81,106,106,Store 106,Pune,MH,138.43
12-10-2024,4,103,0,P_050,110668,4,0,04-03-2024,P_050,Product 050,Home,BrandB,202.07,315.93,103,103,Store 103,Delhi,DL,1263.72
13-10-2024,3,106,0,P_030,110669,3,0,04-05-2024,P_030,Product 030,Home,BrandB,272.48,363.65,106,106,Store 106,Pune,MH,1090.95
14-10-2024,1,103,10,P_047,110675,1,10,04-02-2024,P_047,Product 047,Grocery,BrandC,237.02,303.44,103,103,Store 103,Delhi,DL,273.1
15-10-2024,3,105,10,P_043,110675,3,10,04-02-2024,P_043,Product 043,Home,BrandA,216.59,306.16,105,105,Store 105,Hyderabad,TS,826.63
16-10-2024,4,104,0,P_040,110676,4,0,04-08-2024,P_040,Product 040,Grocery,BrandA,196.15,286.01,104,104,Store 104,Bengaluru,KA,1144.04
17-10-2024,5,105,0,P_022,110678,5,0,04-10-2024,P_022,Product 022,Sports,BrandB,188.76,337.73,105,105,Store 105,Hyderabad,TS,1688.65
18-10-2024,2,102,0,P_046,110679,2,0,04-12-2024,P_046,Product 046,Electronics,BrandB,276,472,102,102,Store 102,Gurugram,HR,944
19-10-2024,1,101,10,P_008,110682,1,10,04-04-2024,P_008,Product 008,Clothing,BrandC,110.44,203.49,101,101,Store 101,Noida,UP,183.14
20-10-2024,4,102,10,P_020,110693,4,10,04-06-2024,P_020,Product 020,Home,BrandB,33.73,56.75,102,102,Store 102,Gurugram,HR,204.3
21-10-2024,1,104,10,P_015,110693,1,10,04-06-2024,P_015,Product 015,Home,BrandD,281.43,463.89,104,104,Store 104,Bengaluru,KA,417.5
22-10-2024,4,104,0,P_049,110695,4,0,04-01-2024,P_049,Product 049,Grocery,BrandD,372.65,441.43,104,104,Store 104,Bengaluru,KA,1765.72
23-10-2024,5,104,0,P_001,110698,5,0,04-02-2024,P_001,Product 001,Home,BrandD,291.46,482.98,104,104,Store 104,Bengaluru,KA,2414.9
24-10-2024,3,107,0,P_024,110699,3,0,04-11-2024,P_024,Product 024,Electronics,BrandC,208.42,299.74,107,107,Store 107,Mumbai,MH,899.22
25-10-2024,3,102,10,P_012,110700,3,10,04-09-2024,P_012,Product 012,Clothing,BrandD,260.56,358.56,102,102,Store 102,Gurugram,HR,968.11
26-10-2024,4,105,10,P_014,110701,4,10,04-09-2024,P_014,Product 014,Grocery,BrandD,191.33,306.92,105,105,Store 105,Hyderabad,TS,1104.91
27-10-2024,2,104,10,P_045,110711,2,10,04-04-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,104,104,Store 104,Bengaluru,KA,197.1
28-10-2024,4,101,10,P_033,110713,4,10,04-08-2024,P_033,Product 033,Home,BrandC,17.69,29.81,101,101,Store 101,Noida,UP,107.32
29-10-2024,2,106,10,P_006,110713,2,10,04-08-2024,P_006,Product 006,Grocery,BrandA,14.29,17.66,106,106,Store 106,Pune,MH,31.79
30-10-2024,2,108,10,P_010,110726,2,10,04-03-2024,P_010,Product 010,Sports,BrandB,13.81,16.9,108,108,Store 108,Chennai,TN,30.42
31-10-2024,2,104,10,P_047,110729,2,10,04-01-2024,P_047,Product 047,Grocery,BrandC,237.02,303.44,104,104,Store 104,Bengaluru,KA,546.19
01-11-2024,2,108,10,P_017,110735,2,10,04-12-2024,P_017,Product 017,Home,BrandB,314.84,458.33,108,108,Store 108,Chennai,TN,824.99
02-11-2024,5,102,0,P_017,110738,5,0,04-06-2024,P_017,Product 017,Home,BrandB,314.84,458.33,102,102,Store 102,Gurugram,HR,2291.65
03-11-2024,5,107,10,P_042,110739,5,10,04-12-2024,P_042,Product 042,Electronics,BrandD,54.28,78.27,107,107,Store 107,Mumbai,MH,352.21
04-11-2024,4,108,0,P_011,110742,4,0,04-11-2024,P_011,Product 011,Home,BrandA,63.95,107.43,108,108,Store 108,Chennai,TN,429.72
05-11-2024,4,102,10,P_036,110743,4,10,04-08-2024,P_036,Product 036,Sports,BrandD,115.24,225.27,102,102,Store 102,Gurugram,HR,810.97
06-11-2024,5,103,0,P_034,110743,5,0,04-08-2024,P_034,Product 034,Electronics,BrandD,301.56,358.22,103,103,Store 103,Delhi,DL,1791.1
07-11-2024,5,101,10,P_025,110745,5,10,04-02-2024,P_025,Product 025,Electronics,BrandB,92.74,144.61,101,101,Store 101,Noida,UP,650.74
08-11-2024,1,105,0,P_009,110745,1,0,04-02-2024,P_009,Product 009,Clothing,BrandC,96.09,153.81,105,105,Store 105,Hyderabad,TS,153.81
09-11-2024,4,103,10,P_037,110747,4,10,04-12-2024,P_037,Product 037,Clothing,BrandB,67.57,108.84,103,103,Store 103,Delhi,DL,391.82
10-11-2024,2,102,0,P_047,110749,2,0,04-12-2024,P_047,Product 047,Grocery,BrandC,237.02,303.44,102,102,Store 102,Gurugram,HR,606.88
11-11-2024,1,102,0,P_026,110761,1,0,04-07-2024,P_026,Product 026,Clothing,BrandB,148.98,285.01,102,102,Store 102,Gurugram,HR,285.01
12-11-2024,2,105,10,P_045,110761,2,10,04-07-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,105,105,Store 105,Hyderabad,TS,197.1
13-11-2024,3,101,10,P_005,110767,3,10,04-08-2024,P_005,Product 005,Sports,BrandD,58.75,90.98,101,101,Store 101,Noida,UP,245.65
14-11-2024,4,102,10,P_024,110767,4,10,04-08-2024,P_024,Product 024,Electronics,BrandC,208.42,299.74,102,102,Store 102,Gurugram,HR,1079.06
15-11-2024,3,108,0,P_013,110773,3,0,04-02-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,108,108,Store 108,Chennai,TN,1191.57
16-11-2024,2,103,0,P_030,110775,2,0,04-06-2024,P_030,Product 030,Home,BrandB,272.48,363.65,103,103,Store 103,Delhi,DL,727.3
17-11-2024,4,108,0,P_027,110785,4,0,04-12-2024,P_027,Product 027,Clothing,BrandD,116.38,197.63,108,108,Store 108,Chennai,TN,790.52
18-11-2024,1,101,0,P_006,110796,1,0,04-06-2024,P_006,Product 006,Grocery,BrandA,14.29,17.66,101,101,Store 101,Noida,UP,17.66
19-11-2024,5,102,0,P_019,110801,5,0,04-06-2024,P_019,Product 019,Electronics,BrandB,170.91,230.23,102,102,Store 102,Gurugram,HR,1151.15
20-11-2024,5,102,0,P_040,110807,5,0,04-07-2024,P_040,Product 040,Grocery,BrandA,196.15,286.01,102,102,Store 102,Gurugram,HR,1430.05
21-11-2024,1,103,0,P_012,110814,1,0,04-08-2024,P_012,Product 012,Clothing,BrandD,260.56,358.56,103,103,Store 103,Delhi,DL,358.56
22-11-2024,4,101,0,P_046,110825,4,0,04-08-2024,P_046,Product 046,Electronics,BrandB,276,472,101,101,Store 101,Noida,UP,1888
23-11-2024,1,101,10,P_013,110827,1,10,04-09-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,101,101,Store 101,Noida,UP,357.47
24-11-2024,4,107,10,P_035,110848,4,10,04-01-2024,P_035,Product 035,Clothing,BrandC,41.43,64.34,107,107,Store 107,Mumbai,MH,231.62
25-11-2024,4,105,10,P_033,110852,4,10,04-08-2024,P_033,Product 033,Home,BrandC,17.69,29.81,105,105,Store 105,Hyderabad,TS,107.32
26-11-2024,2,106,10,P_008,110855,2,10,04-08-2024,P_008,Product 008,Clothing,BrandC,110.44,203.49,106,106,Store 106,Pune,MH,366.28
27-11-2024,4,105,0,P_042,110865,4,0,04-06-2024,P_042,Product 042,Electronics,BrandD,54.28,78.27,105,105,Store 105,Hyderabad,TS,313.08
28-11-2024,4,105,0,P_034,110871,4,0,04-08-2024,P_034,Product 034,Electronics,BrandD,301.56,358.22,105,105,Store 105,Hyderabad,TS,1432.88
29-11-2024,1,105,10,P_008,110889,1,10,04-08-2024,P_008,Product 008,Clothing,BrandC,110.44,203.49,105,105,Store 105,Hyderabad,TS,183.14
30-11-2024,2,102,10,P_015,110893,2,10,04-08-2024,P_015,Product 015,Home,BrandD,281.43,463.89,102,102,Store 102,Gurugram,HR,835
01-12-2024,1,108,0,P_040,110893,1,0,04-08-2024,P_040,Product 040,Grocery,BrandA,196.15,286.01,108,108,Store 108,Chennai,TN,286.01
02-12-2024,2,107,0,P_017,110896,2,0,04-10-2024,P_017,Product 017,Home,BrandB,314.84,458.33,107,107,Store 107,Mumbai,MH,916.66
03-12-2024,3,105,10,P_033,110902,3,10,04-11-2024,P_033,Product 033,Home,BrandC,17.69,29.81,105,105,Store 105,Hyderabad,TS,80.49
04-12-2024,4,107,0,P_029,110902,4,0,04-11-2024,P_029,Product 029,Home,BrandB,316.8,425.97,107,107,Store 107,Mumbai,MH,1703.88
05-12-2024,2,108,10,P_042,110904,2,10,04-03-2024,P_042,Product 042,Electronics,BrandD,54.28,78.27,108,108,Store 108,Chennai,TN,140.89
06-12-2024,4,104,0,P_045,110910,4,0,04-04-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,104,104,Store 104,Bengaluru,KA,438
07-12-2024,4,105,10,P_031,110913,4,10,04-06-2024,P_031,Product 031,Clothing,BrandD,69.33,125.63,105,105,Store 105,Hyderabad,TS,452.27
08-12-2024,4,108,0,P_045,110913,4,0,04-06-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,108,108,Store 108,Chennai,TN,438
09-12-2024,1,101,0,P_045,110915,1,0,04-11-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,101,101,Store 101,Noida,UP,109.5
10-12-2024,4,106,10,P_004,110915,4,10,04-11-2024,P_004,Product 004,Sports,BrandC,89.45,155.17,106,106,Store 106,Pune,MH,558.61
11-12-2024,2,106,10,P_039,110921,2,10,04-04-2024,P_039,Product 039,Electronics,BrandD,179.34,242.93,106,106,Store 106,Pune,MH,437.27
12-12-2024,4,101,10,P_045,110926,4,10,04-12-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,101,101,Store 101,Noida,UP,394.2
13-12-2024,2,104,10,P_018,110926,2,10,04-12-2024,P_018,Product 018,Sports,BrandB,285.64,426.52,104,104,Store 104,Bengaluru,KA,767.74
14-12-2024,2,102,0,P_004,110930,2,0,04-01-2024,P_004,Product 004,Sports,BrandC,89.45,155.17,102,102,Store 102,Gurugram,HR,310.34
15-12-2024,1,107,10,P_023,110939,1,10,04-06-2024,P_023,Product 023,Home,BrandA,193.9,336.3,107,107,Store 107,Mumbai,MH,302.67
16-12-2024,2,104,10,P_028,110947,2,10,04-02-2024,P_028,Product 028,Grocery,BrandB,285.08,486.14,104,104,Store 104,Bengaluru,KA,875.05
17-12-2024,5,107,0,P_027,110947,5,0,04-02-2024,P_027,Product 027,Clothing,BrandD,116.38,197.63,107,107,Store 107,Mumbai,MH,988.15
18-12-2024,5,103,0,P_028,110949,5,0,04-05-2024,P_028,Product 028,Grocery,BrandB,285.08,486.14,103,103,Store 103,Delhi,DL,2430.7
19-12-2024,3,107,0,P_018,110959,3,0,04-07-2024,P_018,Product 018,Sports,BrandB,285.64,426.52,107,107,Store 107,Mumbai,MH,1279.56
20-12-2024,5,104,0,P_020,110962,5,0,04-09-2024,P_020,Product 020,Home,BrandB,33.73,56.75,104,104,Store 104,Bengaluru,KA,283.75
21-12-2024,1,101,0,P_030,110963,1,0,04-08-2024,P_030,Product 030,Home,BrandB,272.48,363.65,101,101,Store 101,Noida,UP,363.65
22-12-2024,5,102,0,P_041,110966,5,0,04-08-2024,P_041,Product 041,Home,BrandB,230.38,350.8,102,102,Store 102,Gurugram,HR,1754
23-12-2024,5,108,0,P_016,110966,5,0,04-08-2024,P_016,Product 016,Grocery,BrandB,183.48,329.03,108,108,Store 108,Chennai,TN,1645.15
24-12-2024,4,108,10,P_030,110966,4,10,04-08-2024,P_030,Product 030,Home,BrandB,272.48,363.65,108,108,Store 108,Chennai,TN,1309.14
25-12-2024,4,105,0,P_038,110972,4,0,04-08-2024,P_038,Product 038,Sports,BrandC,324.13,448.92,105,105,Store 105,Hyderabad,TS,1795.68
26-12-2024,2,102,10,P_024,110974,2,10,04-12-2024,P_024,Product 024,Electronics,BrandC,208.42,299.74,102,102,Store 102,Gurugram,HR,539.53
27-12-2024,1,107,0,P_041,110974,1,0,04-12-2024,P_041,Product 041,Home,BrandB,230.38,350.8,107,107,Store 107,Mumbai,MH,350.8
28-12-2024,3,107,10,P_013,110981,3,10,04-09-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,107,107,Store 107,Mumbai,MH,1072.41
29-12-2024,3,106,0,P_018,110989,3,0,04-02-2024,P_018,Product 018,Sports,BrandB,285.64,426.52,106,106,Store 106,Pune,MH,1279.56
30-12-2024,4,103,0,P_028,110996,4,0,04-03-2024,P_028,Product 028,Grocery,BrandB,285.08,486.14,103,103,Store 103,Delhi,DL,1944.56
31-12-2024,4,104,10,P_018,110999,4,10,04-10-2024,P_018,Product 018,Sports,BrandB,285.64,426.52,104,104,Store 104,Bengaluru,KA,1535.47
01-01-2025,4,106,0,P_001,111001,4,0,04-05-2024,P_001,Product 001,Home,BrandD,291.46,482.98,106,106,Store 106,Pune,MH,1931.92
02-01-2025,3,106,10,P_024,111002,3,10,04-05-2024,P_024,Product 024,Electronics,BrandC,208.42,299.74,106,106,Store 106,Pune,MH,809.3
03-01-2025,3,102,10,P_027,111003,3,10,04-04-2024,P_027,Product 027,Clothing,BrandD,116.38,197.63,102,102,Store 102,Gurugram,HR,533.6
04-01-2025,5,102,10,P_034,111006,5,10,04-09-2024,P_034,Product 034,Electronics,BrandD,301.56,358.22,102,102,Store 102,Gurugram,HR,1611.99
05-01-2025,3,106,10,P_023,111006,3,10,04-09-2024,P_023,Product 023,Home,BrandA,193.9,336.3,106,106,Store 106,Pune,MH,908.01
06-01-2025,2,103,10,P_013,111008,2,10,04-04-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,103,103,Store 103,Delhi,DL,714.94
07-01-2025,1,108,10,P_030,111020,1,10,04-03-2024,P_030,Product 030,Home,BrandB,272.48,363.65,108,108,Store 108,Chennai,TN,327.28
